Division Number: 154
Division Date: 21 October 2020 - 18:59

Opposition Motion: Free School Meals

Aye Count: 261
No Count: 322
Result: Question accordingly disagreed.

Members recorded
Member,Party,Constituency,Vote,Proxy Member
"Layla Moran","Liberal Democrat","Oxford West and Abingdon","Aye",""
"Penny Mordaunt","Conservative","Portsmouth North","No",""
"Jessica Morden","Labour","Newport East","Aye",""
"Stephen Morgan","Labour","Portsmouth South","Aye",""
"Anne Marie Morris","Conservative","Newton Abbot","Aye","Stuart Andrew"
"David Morris","Conservative","Morecambe and Lunesdale","No","Stuart Andrew"
"Grahame Morris","Labour","Easington","Aye",""
"James Morris","Conservative","Halesowen and Rowley Regis","No",""
"Joy Morrissey","Conservative","Beaconsfield","No Vote Recorded",""
"Wendy Morton","Conservative","Aldridge-Brownhills","No",""
"Kieran Mullan","Conservative","Crewe and Nantwich","No",""
"Holly Mumby-Croft","Conservative","Scunthorpe","Aye",""
"David Mundell","Conservative","Dumfriesshire, Clydesdale and Tweeddale","No",""
"Ian Murray","Labour","Edinburgh South","Aye","Chris Elmore"
"James Murray","Labour","Ealing North","Aye","Chris Elmore"
"Sheryll Murray","Conservative","South East Cornwall","No",""
"Andrew Murrison","Conservative","South West Wiltshire","No",""
"Lisa Nandy","Labour","Wigan","Aye",""
"Robert Neill","Conservative","Bromley and Chislehurst","No",""
"Gavin Newlands","Scottish National Party","Paisley and Renfrewshire North","Aye",""
"Charlotte Nichols","Labour","Warrington North","Aye",""
"Lia Nici","Conservative","Great Grimsby","No Vote Recorded",""
"John Nicolson","Scottish National Party","Ochil and South Perthshire","Aye","Patrick Grady"
"Caroline Nokes","Conservative","Romsey and Southampton North","No",""
"Jesse Norman","Conservative","Hereford and South Herefordshire","No",""
"Alex Norris","Labour","Nottingham North","Aye",""
"Neil O'Brien","Conservative","Harborough","No",""
"Matthew Offord","Conservative","Hendon","No","Rebecca Harris"
"Brendan O'Hara","Scottish National Party","Argyll and Bute","Aye",""
"Sarah Olney","Liberal Democrat","Richmond Park","No Vote Recorded",""
"Chi Onwurah","Labour","Newcastle upon Tyne Central","Aye",""
"Guy Opperman","Conservative","Hexham","No","Stuart Andrew"
"Abena Oppong-Asare","Labour","Erith and Thamesmead","Aye",""
"Kate Osamor","Labour","Edmonton","Aye","Nadia Whittome"
"Kate Osborne","Labour","Jarrow","Aye",""
"Kirsten Oswald","Scottish National Party","East Renfrewshire","Aye","Patrick Grady"
"Taiwo Owatemi","Labour","Coventry North West","Aye",""
"Sarah Owen","Labour","Luton North","Aye",""
"Ian Paisley","Democratic Unionist Party","North Antrim","No Vote Recorded",""
"Neil Parish","Conservative","Tiverton and Honiton","No Vote Recorded",""
"Priti Patel","Conservative","Witham","No Vote Recorded",""
"Owen Paterson","Conservative","North Shropshire","No","Stuart Andrew"
"Mark Pawsey","Conservative","Rugby","No",""
"Stephanie Peacock","Labour","Barnsley East","Aye","Chris Elmore"
"Mike Penning","Conservative","Hemel Hempstead","No","Stuart Andrew"
"Matthew Pennycook","Labour","Greenwich and Woolwich","Aye","Chris Elmore"
"John Penrose","Conservative","Weston-super-Mare","No",""
"Andrew Percy","Conservative","Brigg and Goole","No Vote Recorded",""
"Toby Perkins","Labour","Chesterfield","Aye",""
"Jess Phillips","Labour","Birmingham, Yardley","Aye","Chris Elmore"
"Bridget Phillipson","Labour","Houghton and Sunderland South","No Vote Recorded",""
"Chris Philp","Conservative","Croydon South","No",""
"Christopher Pincher","Conservative","Tamworth","No",""
"Luke Pollard","Labour","Plymouth, Sutton and Devonport","Aye",""
"Dan Poulter","Conservative","Central Suffolk and North Ipswich","No Vote Recorded",""
"Rebecca Pow","Conservative","Taunton Deane","No",""
"Lucy Powell","Labour","Manchester Central","Aye","Chris Elmore"
"Victoria Prentis","Conservative","Banbury","No",""
"Mark Pritchard","Conservative","The Wrekin","No",""
"Tom Pursglove","Conservative","Corby","Teller - Noes",""
"Jeremy Quin","Conservative","Horsham","No",""
"Will Quince","Conservative","Colchester","No",""
"Yasmin Qureshi","Labour","Bolton South East","Aye","Chris Elmore"
"Dominic Raab","Conservative","Esher and Walton","No Vote Recorded",""
"Tom Randall","Conservative","Gedling","No",""
"Angela Rayner","Labour","Ashton-under-Lyne","Aye",""
"John Redwood","Conservative","Wokingham","No",""
"Steve Reed","Labour","Croydon North","Aye",""
"Christina Rees","Labour","Neath","Aye","Chris Elmore"
"Jacob Rees-Mogg","Conservative","North East Somerset","No",""
"Ellie Reeves","Labour","Lewisham West and Penge","Aye","Chris Elmore"
"Rachel Reeves","Labour","Leeds West","Aye",""
"Jonathan Reynolds","Labour","Stalybridge and Hyde","Aye",""
"Bell Ribeiro-Addy","Labour","Streatham","Aye",""
"Nicola Richards","Conservative","West Bromwich East","No",""
"Angela Richardson","Conservative","Guildford","No",""
"Marie Rimmer","Labour","St Helens South and Whiston","Aye",""
"Rob Roberts","Conservative","Delyn","No",""
"Laurence Robertson","Conservative","Tewkesbury","No",""
"Gavin Robinson","Democratic Unionist Party","Belfast East","No Vote Recorded",""
"Mary Robinson","Conservative","Cheadle","No",""
"Matt Rodda","Labour","Reading East","Aye",""
"Andrew Rosindell","Conservative","Romford","No",""
"Douglas Ross","Conservative","Moray","No Vote Recorded",""
"Lee Rowley","Conservative","North East Derbyshire","No",""
"Dean Russell","Conservative","Watford","No",""
"Lloyd Russell-Moyle","Labour","Brighton, Kemptown","Aye",""
"David Rutley","Conservative","Macclesfield","No",""
"Gary Sambrook","Conservative","Birmingham, Northfield","No",""
"Liz Saville Roberts","Plaid Cymru","Dwyfor Meirionnydd","Aye","Ben Lake"
"Selaine Saxby","Conservative","North Devon","No","Stuart Andrew"
"Paul Scully","Conservative","Sutton and Cheam","No",""
"Bob Seely","Conservative","Isle of Wight","No",""
"Andrew Selous","Conservative","South West Bedfordshire","No",""
"Naz Shah","Labour","Bradford West","Aye",""
"Jim Shannon","Democratic Unionist Party","Strangford","Aye",""
"Grant Shapps","Conservative","Welwyn Hatfield","No",""
"Alok Sharma","Conservative","Reading West","No",""
"Virendra Sharma","Labour","Ealing, Southall","Aye","Chris Elmore"
"Barry Sheerman","Labour","Huddersfield","Aye","Chris Elmore"
"Alec Shelbrooke","Conservative","Elmet and Rothwell","No",""
"Tommy Sheppard","Scottish National Party","Edinburgh East","Aye","Patrick Grady"
"Tulip Siddiq","Labour","Hampstead and Kilburn","Aye",""
"David Simmonds","Conservative","Ruislip, Northwood and Pinner","No",""
"Chris Skidmore","Conservative","Kingswood","No",""
"Andy Slaughter","Labour","Hammersmith","Aye",""
"Alyn Smith","Scottish National Party","Stirling","Aye","Patrick Grady"
"Cat Smith","Labour","Lancaster and Fleetwood","Aye",""
"Chloe Smith","Conservative","Norwich North","No","Stuart Andrew"
"Greg Smith","Conservative","Buckingham","No",""
"Henry Smith","Conservative","Crawley","No","Stuart Andrew"
"Jeff Smith","Labour","Manchester, Withington","Teller - Ayes",""
"Julian Smith","Conservative","Skipton and Ripon","No",""
"Nick Smith","Labour","Blaenau Gwent","Aye",""
"Royston Smith","Conservative","Southampton, Itchen","No","Robert Courts"
"Karin Smyth","Labour","Bristol South","Aye",""
"Alex Sobel","Labour","Leeds North West","Aye",""
"Amanda Solloway","Conservative","Derby North","No",""
"John Spellar","Labour","Warley","Aye",""
"Ben Spencer","Conservative","Runnymede and Weybridge","No",""
"Mark Spencer","Conservative","Sherwood","No",""
"Alexander Stafford","Conservative","Rother Valley","No",""
"Keir Starmer","Labour","Holborn and St Pancras","Aye",""
"Chris Stephens","Scottish National Party","Glasgow South West","Aye",""
"Andrew Stephenson","Conservative","Pendle","No",""
"Jo Stevens","Labour","Cardiff Central","Aye",""
"Jane Stevenson","Conservative","Wolverhampton North East","No",""
"John Stevenson","Conservative","Carlisle","No",""
"Bob Stewart","Conservative","Beckenham","No",""
"Iain Stewart","Conservative","Milton Keynes South","No",""
"Jamie Stone","Liberal Democrat","Caithness, Sutherland and Easter Ross","Aye","Wendy Chamberlain"
"Gary Streeter","Conservative","South West Devon","No","Stuart Andrew"
"Wes Streeting","Labour","Ilford North","Aye",""
"Mel Stride","Conservative","Central Devon","No","Stuart Andrew"
"Graham Stringer","Labour","Blackley and Broughton","Aye",""
"Graham Stuart","Conservative","Beverley and Holderness","No Vote Recorded",""
"Julian Sturdy","Conservative","York Outer","No Vote Recorded",""
"Zarah Sultana","Labour","Coventry South","Aye",""
"Rishi Sunak","Conservative","Richmond (Yorks)","No",""
"James Sunderland","Conservative","Bracknell","No",""
"Desmond Swayne","Conservative","New Forest West","No",""
"Robert Syms","Conservative","Poole","No",""
"Mark Tami","Labour","Alyn and Deeside","Aye",""
"Sam Tarry","Labour","Ilford South","Aye",""
"Alison Thewliss","Scottish National Party","Glasgow Central","Aye","Patrick Grady"
"Derek Thomas","Conservative","St Ives","No",""
"Gareth Thomas","Labour","Harrow West","Aye","Chris Elmore"
"Nick Thomas-Symonds","Labour","Torfaen","Aye",""
"Owen Thompson","Scottish National Party","Midlothian","No Vote Recorded",""
"Richard Thomson","Scottish National Party","Gordon","Aye","Patrick Grady"
"Emily Thornberry","Labour","Islington South and Finsbury","Aye",""
"Maggie Throup","Conservative","Erewash","No",""
"Stephen Timms","Labour","East Ham","Aye",""
"Edward Timpson","Conservative","Eddisbury","No","Stuart Andrew"
"Kelly Tolhurst","Conservative","Rochester and Strood","No",""
"Justin Tomlinson","Conservative","North Swindon","No",""
"Michael Tomlinson","Conservative","Mid Dorset and North Poole","No",""
"Craig Tracey","Conservative","North Warwickshire","No",""
"Anne-Marie Trevelyan","Conservative","Berwick-upon-Tweed","No",""
"Jon Trickett","Labour","Hemsworth","Aye","Dawn Butler"
"Laura Trott","Conservative","Sevenoaks","No",""
"Elizabeth Truss","Conservative","South West Norfolk","No Vote Recorded",""
"Tom Tugendhat","Conservative","Tonbridge and Malling","No",""
"Karl Turner","Labour","Kingston upon Hull East","Aye","Chris Elmore"
"Derek Twigg","Labour","Halton","Aye",""
"Liz Twist","Labour","Blaydon","Aye",""
"Shailesh Vara","Conservative","North West Cambridgeshire","No Vote Recorded",""
"Valerie Vaz","Labour","Walsall South","Aye",""
"Martin Vickers","Conservative","Cleethorpes","No",""
"Matt Vickers","Conservative","Stockton South","No",""
"Theresa Villiers","Conservative","Chipping Barnet","No",""
"Christian Wakeford","Conservative","Bury South","No Vote Recorded",""
"Robin Walker","Conservative","Worcester","No",""
"Charles Walker","Conservative","Broxbourne","No",""
"Ben Wallace","Conservative","Wyre and Preston North","No Vote Recorded",""
"Jamie Wallis","Conservative","Bridgend","No","Stuart Andrew"
"David Warburton","Conservative","Somerton and Frome","No","Stuart Andrew"
"Matt Warman","Conservative","Boston and Skegness","No",""
"Giles Watling","Conservative","Clacton","No",""
"Suzanne Webb","Conservative","Stourbridge","No",""
"Claudia Webbe","Independent","Leicester East","Aye",""
"Catherine West","Labour","Hornsey and Wood Green","Aye",""
"Matt Western","Labour","Warwick and Leamington","Aye",""
"Helen Whately","Conservative","Faversham and Mid Kent","No",""
"Heather Wheeler","Conservative","South Derbyshire","No",""
"Alan Whitehead","Labour","Southampton, Test","Aye",""
"Philippa Whitford","Scottish National Party","Central Ayrshire","Aye","Patrick Grady"
"Mick Whitley","Labour","Birkenhead","Aye",""
"Craig Whittaker","Conservative","Calder Valley","No",""
"John Whittingdale","Conservative","Maldon","No",""
"Nadia Whittome","Labour","Nottingham East","Aye",""
"Bill Wiggin","Conservative","North Herefordshire","No",""
"James Wild","Conservative","North West Norfolk","No",""
"Craig Williams","Conservative","Montgomeryshire","No",""
"Hywel Williams","Plaid Cymru","Arfon","Aye","Ben Lake"
"Gavin Williamson","Conservative","South Staffordshire","No",""
"Munira Wilson","Liberal Democrat","Twickenham","Aye",""
"Sammy Wilson","Democratic Unionist Party","East Antrim","No Vote Recorded",""
"Beth Winter","Labour","Cynon Valley","Aye",""
"Rosie Winterton","Deputy Speaker","Doncaster Central","No Vote Recorded",""
"Pete Wishart","Scottish National Party","Perth and North Perthshire","Aye","Patrick Grady"
"Mike Wood","Conservative","Dudley South","No",""
"William Wragg","Conservative","Hazel Grove","No",""
"Jeremy Wright","Conservative","Kenilworth and Southam","No",""
"Mohammad Yasin","Labour","Bedford","Aye","Chris Elmore"
"Jacob Young","Conservative","Redcar","No",""
"Nadhim Zahawi","Conservative","Stratford-on-Avon","No",""
"Daniel Zeichner","Labour","Cambridge","Aye",""
